                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.71234,                0.41828,                 0.9148,                0.63991,                0.91045,                0.80145,                0.60731,                0.97528,                0.93546,                  1.058,              0.0010595,              0.0010595,              0.0010595
                     60,                0.71833,                0.41207,                0.90225,                0.64347,                 0.9194,                 0.7709,                 0.5777,                 1.0039,                0.96651,                 1.0662,               0.001043,               0.001043,               0.001043
                     61,                0.74917,                0.42864,                0.90912,                0.63206,                0.91642,                0.76914,                0.58754,                0.98597,                0.95224,                 1.0623,              0.0010265,              0.0010265,              0.0010265
                     62,                0.75023,                0.41921,                0.92666,                0.64335,                0.93134,                0.76689,                0.58053,                0.95083,                 1.0403,                 1.0334,                0.00101,                0.00101,                0.00101
                     63,                0.74884,                0.41719,                0.91562,                0.62103,                0.89552,                0.79247,                0.61253,                0.94631,                 1.0307,                 1.0537,              0.0009935,              0.0009935,              0.0009935
                     64,                0.73317,                0.41959,                0.90825,                0.72092,                0.87164,                0.86986,                0.68081,                0.87701,                0.88856,                 1.0338,               0.000977,               0.000977,               0.000977
                     65,                0.73192,                0.42533,                0.91177,                0.69581,                0.89552,                0.88113,                 0.6898,                 0.8578,                0.88035,                0.99223,              0.0009605,              0.0009605,              0.0009605
                     66,                0.71524,                0.41595,                0.91453,                0.65895,                0.91045,                0.85271,                0.66177,                0.89106,                0.90405,                 1.0239,               0.000944,               0.000944,               0.000944
                     67,                0.69148,                0.40687,                0.90493,                0.64741,                0.91045,                0.81914,                0.61722,                0.98498,                0.93302,                 1.0582,              0.0009275,              0.0009275,              0.0009275
                     68,                 0.6925,                0.40394,                0.91456,                0.64187,                0.92239,                0.83255,                0.63828,                0.94649,                0.90893,                 1.0492,               0.000911,               0.000911,               0.000911
                     69,                0.71412,                0.41258,                0.90999,                0.64638,                0.93433,                0.82232,                0.64542,                 0.8822,                0.91165,                 1.0248,              0.0008945,              0.0008945,              0.0008945
                     70,                0.69983,                0.41017,                0.90586,                0.63803,                0.91045,                0.76617,                0.59558,                0.90032,                0.93204,                 1.0147,               0.000878,               0.000878,               0.000878
